#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="268F73AC2", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-09-30, 18:13:20,  +00:00,       ,    2.8355954,  -63.6488266,  2962.0, 29.92,  3029.2,  41.0,   0.00,   0.00,  -27.33,  -0.36,   1.01,  -0.02,  -0.02,  27.2, 284.1,  27.2,  75.1,  91.50,  89.37,    16.35,  166.66,   91.20,   95.67, 1003.56,   50.16,  691.54,  3004.3,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       , 29547.5,       
2023-09-30, 18:13:20,  +00:00,       ,    2.8355954,  -63.6488266,  2962.0, 29.92,  3029.2,  41.0,   0.00,   0.00,  -27.33,  -0.36,   1.01,  -0.02,  -0.02,  27.2, 284.1,  27.2,  75.1,  91.50,  89.37,    16.35,  166.66,   91.20,   95.67, 1003.56,   50.16,  691.54,  3004.3,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       , 29547.5,       
2023-09-30, 18:13:21,  +00:00,       ,    2.8355954,  -63.6488266,  2962.0, 29.92,  3024.9,  41.0,   0.00,   0.00,  -31.99,  -0.49,   1.04,  -0.01,  -0.00,  27.1, 284.1,  27.2,  72.8,  91.50,  89.37,    16.33,  166.63,   91.20,   95.29, 1009.28,   50.17,  692.14,  3000.0,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 32098.5,       
2023-09-30, 18:13:22,  +00:00,       ,    2.8355973,  -63.6488266,  2964.0, 29.92,  3023.9,  41.0,   0.00,   0.00,  -12.66,  -0.49,   1.10,  -0.03,   0.00,  27.2, 284.1,  27.2,  70.9,  91.50,  89.37,    16.33,  166.60,   91.08,   95.11, 1012.00,   50.15,  692.33,  2999.0,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:23,  +00:00,       ,    2.8355980,  -63.6488266,  2967.0, 29.92,  3023.3,  40.8,   0.00,   0.00,   34.04,  -0.48,   1.05,  -0.02,   0.00,  27.2, 284.1,  27.2,  71.4,  91.50,  89.37,    16.33,  166.53,   91.06,   95.00, 1014.14,   50.16,  692.62,  2998.4,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:24,  +00:00,       ,    2.8355980,  -63.6488266,  2964.0, 29.92,  3020.7,  40.8,   0.00,   0.00,   57.47,  -0.46,   1.07,  -0.02,   0.00,  27.1, 284.1,  27.2,  70.4,  91.50,  89.37,    16.33,  166.47,   91.10,   95.04, 1015.80,   50.16,  692.70,  2995.8,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:25,  +00:00,       ,    2.8355975,  -63.6488266,  2963.0, 29.92,  3020.3,  40.8,   0.00,   0.00,   29.13,  -0.47,   1.05,  -0.01,   0.00,  27.1, 284.1,  27.2,  70.5,  91.50,  89.37,    16.33,  166.40,   91.14,   95.54, 1017.13,   50.19,  692.30,  2995.5,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:26,  +00:00,       ,    2.8355980,  -63.6488266,  2966.0, 29.92,  3019.2,  40.5,   0.00,   0.00,   11.39,  -0.48,   1.04,  -0.01,  -0.01,  27.1, 284.1,  27.2,  69.3,  91.50,  89.37,    16.35,  166.32,   91.22,   96.23, 1018.61,   50.24,  691.68,  2994.3,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:27,  +00:00,       ,    2.8355966,  -63.6488266,  2964.0, 29.92,  3018.0,  40.5,   0.00,   0.00,   13.38,  -0.48,   1.05,  -0.01,  -0.00,  27.1, 284.1,  27.2,  68.9,  91.50,  89.37,    16.34,  166.24,   91.25,   96.22, 1020.56,   50.25,  691.59,  2993.2,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:28,  +00:00,       ,    2.8355956,  -63.6488266,  2961.0, 29.92,  3018.5,  40.5,   0.00,   0.00,  -14.42,  -0.51,   1.08,  -0.01,  -0.00,  27.1, 284.1,  27.2,  68.0,  91.44,  89.24,    16.33,  166.16,   91.35,   96.87, 1021.65,   50.30,  690.67,  2993.6,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:29,  +00:00,       ,    2.8355954,  -63.6488266,  2962.0, 29.92,  3019.1,  40.2,   0.00,   0.00,  -39.17,  -0.47,   1.07,  -0.01,   0.01,  27.1, 284.1,  27.2,  67.3,  91.44,  89.24,    16.34,  166.08,   91.46,   97.19, 1022.65,   50.36,  689.68,  2994.2,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:30,  +00:00,       ,    2.8355951,  -63.6488266,  2963.0, 29.92,  3019.2,  40.2,   0.00,   0.00,  -30.61,  -0.49,   1.03,  -0.01,  -0.00,  27.1, 284.1,  27.2,  66.4,  91.44,  88.86,    16.35,  166.00,   91.52,   97.44, 1024.78,   50.40,  688.70,  2994.4,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       ,      ,       
2023-09-30, 18:13:31,  +00:00,       ,    2.8356047,  -63.6488342,  2962.0, 29.92,  2987.6,  40.2,   0.00,   0.00,  -20.04,  -0.51,   1.08,  -0.01,   0.01,  27.2, 284.1,  27.2,  65.4,  91.44,  88.86,    16.33,  165.93,   91.43,   97.16, 1025.53,   50.39,  687.82,  2962.7,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  99.5,       
2023-09-30, 18:13:32,  +00:00,       ,    2.8356049,  -63.6488342,  2961.0, 29.92,  2985.4,  40.2,   0.00,   0.00,  -18.59,  -0.48,   1.04,  -0.01,   0.01,  27.2, 284.1,  27.3,  64.2,  91.44,  88.86,    16.31,  165.87,   91.42,   96.77, 1026.15,   50.37,  687.59,  2960.6,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  99.5,       
2023-09-30, 18:13:33,  +00:00,   SBBV,    2.8356054,  -63.6488342,  2961.0, 29.92,  2984.4,  40.0,   0.00,   0.00,  -27.44,  -0.46,   1.05,  -0.02,   0.00,  27.2, 284.1,  27.2,  63.1,  91.44,  88.73,    16.30,  165.81,   91.36,   96.51, 1026.91,   50.35,  687.42,  2959.5,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:34,  +00:00,   SBBV,    2.8356047,  -63.6488342,  2963.0, 29.92,  2982.5,  40.0,   0.00,   0.00,  -12.76,  -0.47,   1.07,  -0.02,  -0.01,  27.2, 284.1,  27.3,  62.3,  91.44,  88.73,    16.32,  165.75,   91.36,   96.67, 1027.85,   50.35,  687.29,  2957.6,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:35,  +00:00,   SBBV,    2.8356035,  -63.6488342,  2961.0, 29.92,  2981.2,  40.0,   0.00,   0.00,   -3.02,  -0.49,   1.05,  -0.01,  -0.01,  27.1, 284.1,  27.3,  63.0,  91.50,  88.73,    16.32,  165.70,   91.36,   96.98, 1027.47,   50.35,  687.47,  2956.3,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:36,  +00:00,   SBBV,    2.8356025,  -63.6488342,  2960.0, 29.92,  2979.7,  39.8,   0.00,   0.00,  -15.23,  -0.52,   1.08,  -0.01,  -0.00,  27.1, 284.1,  27.3,  62.2,  91.50,  88.73,    16.34,  165.66,   91.39,   97.61, 1027.09,   50.38,  687.51,  2954.8,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:37,  +00:00,   SBBV,    2.8356016,  -63.6488342,  2960.0, 29.92,  2980.0,  39.8,   0.00,   0.00,  -25.59,  -0.49,   1.10,  -0.02,  -0.01,  27.1, 284.1,  27.1,  53.8,  91.56,  88.73,    16.33,  165.62,   91.39,   98.13, 1027.10,   50.40,  687.03,  2955.1,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:38,  +00:00,   SBBV,    2.8356006,  -63.6488342,  2960.0, 29.92,  2980.4,  39.8,   0.00,   0.00,  -24.11,  -0.51,   1.11,  -0.01,  -0.02,  27.1, 284.1,  27.2,  56.4,  91.56,  88.99,    16.33,  165.59,   91.29,   97.59, 1027.49,   50.33,  687.30,  2955.5,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:39,  +00:00,   SBBV,    2.8356001,  -63.6488342,  2960.0, 29.92,  2980.4,  39.5,   0.00,   0.00,  -19.30,  -0.51,   1.09,  -0.02,  -0.02,  27.1, 284.1,  27.2,  56.0,  91.56,  89.11,    16.31,  165.55,   91.20,   96.77, 1025.58,   50.25,  688.16,  2955.5,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:40,  +00:00,   SBBV,    2.8356006,  -63.6488342,  2961.0, 29.92,  2980.4,  39.5,   0.00,   0.00,   -7.28,  -0.53,   1.09,  -0.02,  -0.01,  27.1, 284.1,  27.2,  56.0,  91.56,  89.24,    16.31,  165.52,   91.16,   96.91, 1025.30,   50.23,  688.64,  2955.5,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:41,  +00:00,   SBBV,    2.8356006,  -63.6488342,  2961.0, 29.92,  2981.1,  39.5,   0.00,   0.00,    4.89,  -0.52,   1.08,  -0.02,   0.01,  27.1, 284.1,  27.2,  56.0,  91.56,  89.37,    16.32,  165.48,   91.29,   97.14, 1025.74,   50.25,  689.14,  2956.2,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  99.0,       
2023-09-30, 18:13:42,  +00:00,   SBBV,    2.8356001,  -63.6488190,  2961.0, 29.92,  2977.2,  39.5,   0.00,   0.00,    8.32,  -0.51,   1.07,  -0.02,   0.00,  27.1, 284.1,  27.3,  55.3,  91.56,  89.37,    16.35,  165.44,   91.39,   97.36, 1027.16,   50.28,  689.30,  2952.3,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-30, 18:13:43,  +00:00,   SBBV,    2.8356001,  -63.6488190,  2960.0, 29.92,  2977.9,  39.2,   0.00,   0.00,    4.61,  -0.52,   1.05,  -0.01,   0.00,  27.1, 284.1,  27.3,  55.4,  91.56,  89.49,    16.35,  165.40,   91.42,   97.67, 1028.52,   50.32,  689.26,  2953.0,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-30, 18:13:44,  +00:00,   SBBV,    2.8356006,  -63.6488190,  2960.0, 29.92,  2978.2,  39.2,   0.00,   0.00,   -4.02,  -0.51,   1.04,  -0.01,   0.02,  27.1, 284.1,  27.3,  54.5,  91.56,  89.49,    16.34,  165.36,   91.47,   97.90, 1029.10,   50.38,  688.91,  2953.3,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-30, 18:13:45,  +00:00,   SBBV,    2.8356009,  -63.6488190,  2960.0, 29.92,  2978.6,  39.2,   0.00,   0.00,   -9.43,  -0.45,   1.09,  -0.02,   0.00,  27.1, 284.1,  27.3,  53.5,  91.50,  89.37,    16.33,  165.32,   91.47,   98.10, 1029.47,   50.38,  688.51,  2953.7,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-30, 18:13:46,  +00:00,   SBBV,    2.8356006,  -63.6488190,  2960.0, 29.92,  2978.9,  39.2,   0.00,   0.00,   -8.29,  -0.38,   1.15,  -0.01,  -0.01,  27.1, 284.1,  27.3,  52.3,  91.50,  89.37,    16.33,  165.27,   91.40,   98.06, 1027.86,   50.37,  688.25,  2954.1,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-30, 18:13:47,  +00:00,   SBBV,    2.8356006,  -63.6488190,  2961.0, 29.92,  2979.4,  39.0,   0.00,   0.00,   -1.90,  -0.43,   1.04,  -0.01,  -0.01,  27.2, 284.1,  27.3,  52.0,  91.44,  89.11,    16.31,  165.23,   91.41,   98.19, 1027.35,   50.36,  688.09,  2954.5,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-30, 18:13:48,  +00:00,   SBBV,    2.8356011,  -63.6488190,  2961.0, 29.92,  2979.4,  39.0,   0.00,   0.00,    7.06,  -0.41,   1.04,  -0.01,   0.02,  27.1, 284.1,  27.3,  51.3,  91.38,  88.99,    16.30,  165.18,   91.47,   98.61, 1028.01,   50.38,  687.55,  2954.6,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 1852,      ,       , 121.0,       
2023-09-30, 18:13:49,  +00:00,   SBBV,    2.8356037,  -63.6488190,  2960.0, 29.92,  2981.5,  39.0,   0.00,   0.00,    6.94,  -0.42,   1.01,  -0.00,   0.01,  27.1, 284.1,  27.3,  50.7,  91.38,  88.99,    16.32,  165.14,   91.46,   98.73, 1027.97,   50.41,  687.11,  2956.6,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 107.0,       
2023-09-30, 18:13:50,  +00:00,   SBBV,    2.8356047,  -63.6488190,  2960.0, 29.92,  2982.0,  39.0,   0.00,   0.00,   -1.58,  -0.43,   1.04,  -0.01,   0.02,  27.2, 284.1,  27.2,  45.3,  91.38,  88.99,    16.34,  165.10,   91.44,   98.50, 1028.61,   50.40,  686.94,  2957.1,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 106.5,       
2023-09-30, 18:13:51,  +00:00,   SBBV,    2.8356059,  -63.6488190,  2960.0, 29.92,  2982.9,  38.8,   0.00,   0.00,   -8.75,  -0.43,   1.07,  -0.02,   0.01,  27.2, 284.1,  27.2,  45.3,  91.38,  88.99,    16.30,  165.05,   91.13,   97.22, 1027.26,   50.26,  687.94,  2958.1,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 106.5,       
2023-09-30, 18:13:52,  +00:00,   SBBV,    2.8356059,  -63.6488190,  2960.0, 29.92,  2983.0,  38.8,   0.00,   0.00,   -6.83,  -0.42,   1.08,  -0.02,   0.00,  27.2, 284.1,  27.2,  43.8,  91.38,  88.99,    16.28,  165.00,   91.05,   96.09, 1023.65,   50.11,  690.15,  2958.2,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 106.5,       
2023-09-30, 18:13:53,  +00:00,   SBBV,    2.8356059,  -63.6488190,  2960.0, 29.92,  2983.0,  38.8,   0.00,   0.00,   -3.35,  -0.41,   1.05,  -0.02,   0.00,  27.1, 284.1,  27.2,  42.4,  91.38,  88.99,    16.27,  164.96,   90.96,   95.34, 1021.45,   49.97,  692.83,  2958.2,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 106.5,       
2023-09-30, 18:13:54,  +00:00,   SBBV,    2.8356061,  -63.6488190,  2960.0, 29.92,  2982.9,  38.8,   0.00,   0.00,   -1.41,  -0.42,   1.04,  -0.02,   0.00,  27.2, 284.1,  27.2,  41.8,  91.38,  89.11,    16.26,  164.92,   90.81,   94.99, 1017.27,   49.88,  695.40,  2958.0,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 106.5,       
2023-09-30, 18:13:55,  +00:00,   SBBV,    2.8355992,  -63.6488457,  2960.0, 29.92,  3005.5,  38.5,   0.00,   0.00,   -0.55,  -0.44,   1.07,  -0.02,  -0.01,  27.1, 284.1,  27.2,  42.2,  91.38,  89.24,    16.27,  164.88,   90.89,   94.90, 1013.28,   49.83,  697.74,  2980.6,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 1852,      ,       ,  80.0,       
2023-09-30, 18:13:56,  +00:00,   SBBV,    2.8355989,  -63.6488533,  2960.0, 29.92,  3008.6,  38.5,   0.00,   0.00,   -0.21,  -0.46,   1.07,  -0.01,  -0.00,  27.1, 284.1,  27.2,  43.9,  91.38,  89.37,    16.90,  164.85,   91.44,   96.07, 1013.26,   50.10,  702.14,  2983.0,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  79.5,       
2023-09-30, 18:13:57,  +00:00,   SBBV,    2.8355994,  -63.6488457,  2960.0, 29.92,  3005.2,  38.5,   0.00,   0.00,   -0.07,  -0.47,   1.09,  -0.02,   0.01,  27.1, 284.1,  27.5,  54.7,  91.38,  89.75,    18.51,  164.80,   92.90,  105.22, 1028.45,   51.87,  727.39,  2980.3,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  79.5,       
2023-09-30, 18:13:58,  +00:00,   SBBV,    2.8355989,  -63.6488457,  2960.0, 29.92,  3005.7,  38.2,   0.00,   0.00,   -0.03,  -0.46,   1.08,  -0.01,  -0.01,  27.1, 284.1,  27.6,  62.8,  91.44,  89.75,    19.16,  164.77,   93.81,  117.37, 1056.68,   53.76,  746.98,  2980.9,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  79.5,       
2023-09-30, 18:13:59,  +00:00,   SBBV,    2.8355992,  -63.6488457,  2960.0, 29.92,  3005.7,  38.2,   0.00,   0.00,   -0.01,  -0.44,   1.07,  -0.01,  -0.01,  27.1, 284.1,  27.7,  66.5,  91.50,  89.87,    19.10,  164.73,   94.68,  127.18, 1084.19,   54.98,  749.64,  2980.8,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  79.5,       
2023-09-30, 18:14:00,  +00:00,   SBBV,    2.8355992,  -63.6488457,  2960.0, 29.92,  3006.1,  38.2,   0.00,   0.00,    2.42,  -0.44,   1.08,  -0.01,   0.01,  27.1, 284.1,  27.7,  66.6,  91.56,  90.00,    18.75,  164.69,   94.88,  131.29, 1107.71,   55.48,  737.98,  2981.2,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  79.5,       
2023-09-30, 18:14:01,  +00:00,   SBBV,    2.8355916,  -63.6488457,  2961.0, 29.92,  3002.4,  38.2,   0.00,   0.00,    4.77,  -0.42,   1.05,  -0.01,  -0.01,  27.1, 284.1,  27.7,  66.4,  91.56,  90.06,    18.42,  164.65,   94.88,  131.13, 1120.67,   55.52,  724.22,  2977.5,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.019,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.5,       
2023-09-30, 18:14:02,  +00:00,   SBBV,    2.8355920,  -63.6488457,  2960.0, 29.92,  3003.3,  38.2,   0.00,   0.00,    3.22,  -0.44,   1.07,  -0.03,  -0.00,  27.1, 284.1,  27.7,  64.9,  91.63,  90.06,    18.25,  164.60,   94.72,  129.55, 1129.04,   55.46,  711.44,  2978.4,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.019,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-30, 18:14:03,  +00:00,   SBBV,    2.8355918,  -63.6488457,  2961.0, 29.92,  3002.3,  38.0,   0.00,   0.00,    1.27,  -0.48,   1.03,  -0.03,  -0.00,  27.1, 284.1,  27.7,  63.4,  91.63,  90.12,    18.15,  164.56,   94.55,  128.09, 1133.93,   55.39,  704.88,  2977.4,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.019,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-30, 18:14:04,  +00:00,   SBBV,    2.8355920,  -63.6488457,  2960.0, 29.92,  3002.0,  38.0,   0.00,   0.00,    5.79,  -0.44,   1.04,  -0.02,   0.01,  27.1, 284.1,  27.7,  61.9,  91.63,  90.06,    18.12,  164.51,   94.46,  126.33, 1138.39,   55.34,  700.18,  2977.1,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.019,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-30, 18:14:05,  +00:00,   SBBV,    2.8355923,  -63.6488457,  2962.0, 29.92,  3001.8,  38.0,   0.00,   0.00,    6.87,  -0.47,   1.01,  -0.01,  -0.00,  27.1, 284.1,  27.7,  62.2,  91.75,  90.06,    18.87,  164.47,   95.13,  128.90, 1144.41,   55.79,  700.62,  2977.0,   0,  GPS,  104.3, 109.30, 109.30, 125.400, 123.450,  0.019,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
