#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="22FD4AD32", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-08-31, 07:58:33,  -04:00,       ,    2.8469574,  -60.6954803,   267.5, 29.94,   263.6,  35.5,   0.00,   0.00,    7.64,   0.80,   0.42,  -0.00,   0.00, 259.2, 322.4,  27.8,  38.1, 103.51, 108.11,    19.66,   90.66,   91.59,  135.73,  995.10,   50.69,  639.85,   214.4,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:33,  -04:00,       ,    2.8469574,  -60.6954803,   267.5, 29.94,   263.6,  35.5,   0.00,   0.00,    7.64,   0.80,   0.42,  -0.00,  -0.00, 259.2, 322.4,  27.8,  38.1, 103.51, 108.11,    19.66,   90.66,   91.59,  135.73,  995.10,   50.69,  639.85,   214.4,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:33,  -04:00,       ,    2.8469574,  -60.6954803,   268.5, 29.94,   263.4,  35.5,   0.00,   0.00,    6.96,   0.81,   0.43,  -0.00,  -0.00, 259.2, 322.4,  27.8,  37.6, 103.51, 108.11,    19.63,   90.80,   91.58,  135.05,  996.61,   50.71,  640.69,   214.2,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:34,  -04:00,       ,    2.8469574,  -60.6954803,   268.5, 29.94,   263.3,  35.5,   0.00,   0.00,   11.22,   0.79,   0.44,  -0.01,   0.00, 259.3, 322.4,  27.8,  37.4, 103.51, 108.03,    19.60,   90.95,   91.52,  134.14,  999.23,   50.71,  641.00,   214.1,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:36,  -04:00,       ,    2.8469574,  -60.6954803,   268.5, 29.94,   263.2,  35.5,   0.00,   0.00,   13.92,   0.80,   0.43,  -0.02,   0.00, 259.3, 322.4,  27.8,  36.6, 103.51, 108.03,    19.59,   91.10,   91.54,  133.90, 1001.96,   50.74,  641.84,   214.0,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:36,  -04:00,       ,    2.8469574,  -60.6954803,   269.5, 29.94,   263.4,  35.2,   0.00,   0.00,   16.47,   0.82,   0.47,  -0.00,  -0.01, 259.2, 322.4,  27.8,  35.8, 103.51, 108.03,    19.58,   91.25,   91.55,  134.86, 1000.75,   50.77,  642.89,   214.2,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:37,  -04:00,       ,    2.8469574,  -60.6954803,   269.5, 29.94,   263.2,  35.2,   0.00,   0.00,   22.72,   0.81,   0.47,  -0.01,  -0.00, 259.2, 322.4,  27.9,  35.2, 103.51, 108.03,    19.56,   91.41,   91.52,  136.07,  997.37,   50.78,  643.97,   214.0,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:39,  -04:00,       ,    2.8469574,  -60.6954803,   268.5, 29.94,   263.1,  35.2,   0.00,   0.00,   22.50,   0.82,   0.42,  -0.00,  -0.01, 259.2, 322.4,  27.9,  34.4, 103.51, 108.03,    19.54,   91.58,   91.52,  136.77,  994.44,   50.80,  644.32,   213.9,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:39,  -04:00,       ,    2.8469574,  -60.6954803,   267.5, 29.94,   263.1,  35.2,   0.00,   0.00,    7.40,   0.82,   0.44,   0.00,  -0.00, 259.2, 322.4,  27.9,  33.7, 103.51, 108.03,    19.53,   91.74,   91.51,  136.27,  994.20,   50.82,  644.19,   213.8,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:40,  -04:00,       ,    2.8469574,  -60.6954803,   267.5, 29.94,   263.0,  35.2,   0.00,   0.00,  -12.13,   0.79,   0.45,  -0.01,  -0.00, 259.2, 322.4,  27.9,  33.1, 103.59, 108.03,    19.53,   91.91,   91.70,  135.19,  996.93,   50.87,  644.28,   213.8,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:42,  -04:00,       ,    2.8469574,  -60.6954803,   267.5, 29.94,   262.9,  35.0,   0.00,   0.00,  -22.89,   0.77,   0.44,  -0.01,   0.01, 259.2, 322.4,  27.9,  32.2, 103.66, 108.11,    19.49,   92.08,   91.66,  134.98,  999.10,   50.89,  644.01,   213.7,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:43,  -04:00,       ,    2.8469574,  -60.6954803,   267.5, 29.94,   263.2,  35.0,   0.00,   0.00,  -22.30,   0.79,   0.46,  -0.00,   0.00, 259.3, 322.4,  27.9,  31.3, 103.66, 108.11,    19.46,   92.26,   91.58,  135.08,  997.61,   50.86,  643.30,   214.0,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:43,  -04:00,       ,    2.8469574,  -60.6954803,   266.5, 29.94,   263.4,  35.0,   0.00,   0.00,  -20.39,   0.82,   0.45,   0.00,   0.01, 259.2, 322.4,  27.9,  30.4, 103.66, 108.11,    19.44,   92.43,   91.61,  136.34,  995.68,   50.85,  643.51,   214.2,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:45,  -04:00,       ,    2.8469574,  -60.6954803,   266.5, 29.94,   263.5,  35.0,   0.00,   0.00,  -22.31,   0.79,   0.46,  -0.01,   0.01, 259.3, 322.4,  27.9,  30.1, 103.66, 108.11,    19.44,   92.61,   91.63,  135.01,  997.93,   50.88,  643.49,   214.2,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:46,  -04:00,       ,    2.8469574,  -60.6954803,   266.5, 29.94,   263.5,  35.0,   0.00,   0.00,  -17.94,   0.81,   0.45,  -0.01,  -0.00, 259.3, 322.4,  27.9,  29.5, 103.74, 108.11,    19.42,   92.80,   91.58,  132.98, 1003.05,   50.91,  643.35,   214.2,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.0,       
2023-08-31, 07:58:46,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   267.5, 29.94,   263.6,  35.0,   0.00,   0.00,   -3.15,   0.82,   0.49,  -0.01,  -0.01, 259.3, 322.4,  27.9,  29.0, 103.74, 108.03,    19.40,   92.98,   91.50,  133.93, 1006.24,   50.94,  642.78,   214.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:47,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   267.5, 29.94,   263.8,  34.8,   0.00,   0.00,    3.53,   0.82,   0.48,  -0.00,   0.00, 259.2, 322.4,  28.0,  28.9, 103.74, 108.03,    19.39,   93.17,   91.47,  135.32, 1006.04,   50.98,  642.44,   214.5,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:49,  -04:00,   SWUQ,    2.8469577,  -60.6954803,   266.5, 29.94,   263.9,  34.8,   0.00,   0.00,    2.59,   0.81,   0.48,  -0.01,   0.00, 259.2, 322.4,  28.0,  28.4, 103.74, 108.03,    19.35,   93.36,   91.46,  136.44, 1002.82,   51.03,  641.95,   214.6,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:50,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.2,  34.8,   0.00,   0.00,   -2.42,   0.81,   0.55,  -0.01,   0.00, 259.3, 322.4,  28.0,  27.7, 103.74, 108.11,    19.35,   93.55,   91.52,  137.10, 1000.19,   51.02,  641.74,   215.0,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:50,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   267.5, 29.94,   264.4,  34.8,   0.00,   0.00,   -1.99,   0.83,   0.53,  -0.00,   0.00, 259.2, 322.4,  28.0,  27.5, 103.74, 108.18,    19.34,   93.75,   91.44,  138.71,  995.57,   51.05,  641.51,   215.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:51,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.5,  34.8,   0.00,   0.00,    2.06,   0.81,   0.53,  -0.01,  -0.00, 259.3, 322.4,  28.0,  26.2, 103.74, 108.18,    19.30,   93.94,   91.47,  137.57,  991.46,   51.00,  641.58,   215.3,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:53,  -04:00,   SWUQ,    2.8469570,  -60.6954803,   266.5, 29.94,   264.6,  34.8,   0.00,   0.00,   -1.67,   0.82,   0.55,  -0.01,   0.00, 259.3, 322.4,  28.0,  25.5, 103.74, 108.18,    19.29,   94.14,   91.37,  136.95,  989.29,   50.95,  641.89,   215.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:54,  -04:00,   SWUQ,    2.8469570,  -60.6954803,   267.5, 29.94,   264.7,  34.8,   0.00,   0.00,    0.24,   0.81,   0.55,  -0.01,   0.00, 259.2, 322.4,  28.1,  25.8, 103.74, 108.18,    19.30,   94.33,   91.33,  137.81,  988.28,   50.99,  642.27,   215.5,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:54,  -04:00,   SWUQ,    2.8469567,  -60.6954803,   267.5, 29.94,   264.9,  34.5,   0.00,   0.00,    2.43,   0.83,   0.58,  -0.01,   0.01, 259.3, 322.4,  28.1,  25.2, 103.74, 108.18,    19.28,   94.53,   91.52,  137.77,  987.10,   50.98,  642.76,   215.6,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:55,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   267.5, 29.94,   264.0,  34.5,   0.00,   0.00,    6.24,   0.81,   0.55,  -0.01,  -0.01, 259.3, 322.4,  28.1,  24.6, 103.74, 108.26,    19.27,   94.73,   91.47,  137.68,  985.35,   50.97,  643.35,   214.8,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:57,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.0,  34.5,   0.00,   0.00,    5.52,   0.82,   0.57,  -0.00,  -0.01, 259.3, 322.4,  28.1,  24.0, 103.74, 108.26,    19.26,   94.94,   91.38,  136.48,  989.15,   50.97,  643.22,   214.8,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:58,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   265.5, 29.94,   264.0,  34.5,   0.00,   0.00,   -6.57,   0.85,   0.55,  -0.01,  -0.01, 259.3, 322.4,  28.1,  23.7, 103.59, 108.34,    19.26,   95.13,   91.42,  136.57,  994.03,   51.04,  642.49,   214.8,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:58,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   265.5, 29.94,   264.1,  34.5,   0.00,   0.00,  -16.42,   0.85,   0.57,   0.00,   0.00, 259.2, 322.4,  28.1,  23.2, 103.59, 108.41,    19.24,   95.34,   91.44,  136.76,  994.62,   51.07,  641.68,   214.9,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:58:59,  -04:00,   SWUQ,    2.8469577,  -60.6954803,   266.5, 29.94,   264.1,  34.5,   0.00,   0.00,  -15.17,   0.83,   0.55,  -0.01,   0.00, 259.3, 322.4,  28.1,  22.5, 103.59, 108.41,    19.23,   95.53,   91.33,  137.04,  991.51,   51.04,  642.36,   214.9,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:59:01,  -04:00,   SWUQ,    2.8469579,  -60.6954803,   266.5, 29.94,   264.1,  34.5,   0.00,   0.00,   -6.93,   0.81,   0.57,  -0.01,  -0.00, 259.3, 322.4,  28.1,  21.9, 103.51, 108.41,    19.24,   95.73,   91.36,  137.22,  989.30,   51.04,  643.24,   214.9,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:59:02,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   267.5, 29.94,   264.8,  34.2,   0.00,   0.00,   -0.04,   0.97,   0.68,  -0.02,  -0.01, 259.3, 322.4,  28.1,  21.4, 103.43, 108.41,    19.22,   95.93,   91.26,  137.34,  988.96,   51.03,  643.33,   215.5,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:59:03,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   267.5, 29.94,   264.8,  34.2,   0.00,   0.00,    7.58,   0.94,   0.64,  -0.00,  -0.01, 259.3, 322.4,  28.1,  21.1, 103.28, 108.49,    19.21,   96.13,   91.35,  137.73,  989.74,   51.02,  642.81,   215.5,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  58.0,       
2023-08-31, 07:59:03,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   267.5, 29.94,   264.7,  34.2,   0.00,   0.00,   16.69,   0.94,   0.58,  -0.01,  -0.01, 259.3, 322.4,  28.1,  20.8, 103.28, 108.49,    19.20,   96.33,   91.39,  137.78,  990.33,   51.05,  642.46,   215.5,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:04,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.7,  34.2,   0.00,   0.00,   10.77,   0.99,   0.57,  -0.00,   0.00, 259.3, 322.4,  28.1,  20.2, 103.28, 108.49,    19.19,   96.53,   91.35,  137.18,  989.98,   51.02,  641.71,   215.5,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:06,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.6,  34.2,   0.00,   0.00,   -2.54,   0.98,   0.57,  -0.00,   0.00, 259.2, 322.4,  28.2,  20.2, 103.28, 108.49,    19.21,   96.73,   91.30,  138.17,  989.53,   51.08,  642.08,   215.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:07,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.6,  34.2,   0.00,   0.00,   -8.68,   1.00,   0.56,  -0.00,  -0.00, 259.2, 322.4,  28.2,  19.7, 103.13, 108.49,    19.19,   96.94,   91.28,  137.41,  989.89,   51.08,  642.64,   215.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:08,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.3,  34.2,   0.00,   0.00,    0.40,   0.99,   0.59,  -0.01,   0.01, 259.2, 322.4,  28.2,  19.3, 103.13, 108.41,    19.17,   97.14,   91.25,  136.71,  990.17,   51.06,  642.94,   215.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:08,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.3,  34.0,   0.00,   0.00,    1.11,   1.00,   0.59,  -0.00,  -0.02, 259.2, 322.4,  28.2,  18.8, 103.06, 108.34,    19.15,   97.34,   91.26,  136.33,  990.66,   51.04,  643.09,   215.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:09,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.3,  34.0,   0.00,   0.00,   -2.90,   1.01,   0.56,  -0.01,  -0.02, 259.1, 322.4,  28.2,  18.8, 102.98, 108.26,    19.15,   97.54,   91.26,  135.58,  994.57,   51.03,  643.24,   215.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:10,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   266.5, 29.94,   264.4,  34.0,   0.00,   0.00,   -6.90,   1.00,   0.58,  -0.01,   0.00, 259.1, 322.4,  28.2,  18.6, 102.91, 108.26,    19.11,   97.74,   91.29,  136.13,  996.39,   51.01,  642.03,   215.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:12,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   269.5, 29.94,   264.4,  34.0,   0.00,   0.00,    9.45,   1.08,   0.62,  -0.01,   0.00, 259.1, 322.4,  28.2,  17.7, 102.91, 108.18,    19.10,   97.94,   91.29,  134.74,  992.72,   50.98,  641.92,   215.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:13,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   268.5, 29.94,   264.4,  34.0,   0.00,   0.00,   36.05,   1.03,   0.57,  -0.00,  -0.00, 259.0, 322.4,  28.1,  16.8, 102.91, 108.18,    19.08,   98.14,   91.24,  134.57,  988.51,   50.87,  642.41,   215.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:14,  -04:00,   SWUQ,    2.8469577,  -60.6954803,   266.5, 29.94,   264.3,  34.0,   0.00,   0.00,   23.09,   1.01,   0.57,  -0.00,   0.00, 259.0, 322.4,  28.1,  16.8, 102.91, 108.11,    19.10,   98.33,   91.22,  135.57,  985.55,   50.85,  642.80,   215.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:15,  -04:00,   SWUQ,    2.8469577,  -60.6954803,   266.5, 29.94,   264.4,  34.0,   0.00,   0.00,   -5.93,   1.03,   0.59,  -0.01,   0.00, 259.0, 322.4,  28.1,  16.6, 102.83, 108.11,    19.10,   98.53,   91.25,  136.23,  985.70,   50.85,  642.90,   215.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:15,  -04:00,   SWUQ,    2.8469577,  -60.6954803,   268.5, 29.94,   264.4,  34.0,   0.00,   0.00,   -9.89,   1.04,   0.60,  -0.01,  -0.00, 259.0, 322.4,  28.1,  16.6, 102.91, 108.11,    19.10,   98.72,   91.22,  136.22,  986.20,   50.88,  642.80,   215.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:16,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   268.5, 29.94,   264.4,  33.8,   0.00,   0.00,    2.04,   1.04,   0.59,  -0.01,   0.01, 258.9, 322.4,  28.1,  15.9, 102.91, 108.03,    19.08,   98.91,   91.18,  135.57,  985.18,   50.83,  642.95,   215.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:17,  -04:00,   SWUQ,    2.8469577,  -60.6954803,   269.5, 29.94,   264.3,  33.8,   0.00,   0.00,   16.76,   1.08,   0.60,  -0.00,  -0.01, 258.9, 322.4,  28.1,  15.8, 102.98, 108.03,    19.09,   99.10,   91.16,  135.90,  983.14,   50.84,  643.68,   215.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
2023-08-31, 07:59:19,  -04:00,   SWUQ,    2.8469574,  -60.6954803,   268.5, 29.94,   264.9,  33.8,   0.00,   0.00,   27.70,   1.05,   0.63,   0.00,   0.00, 258.9, 322.4,  28.1,  15.3, 102.98, 107.96,    19.09,   99.30,   91.14,  135.83,  984.76,   50.90,  645.08,   215.6,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.333,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  57.5,       
