#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="22FD4AD32", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-09-26, 07:32:52,  -04:00,       ,    2.8357279,  -63.6489677,  2845.2, 29.91,  2996.2,  26.2,   0.00,   0.00,   -0.03,   1.15,   1.04,  -0.02,   0.00,  28.6, 283.6,  26.5,  79.3,  93.59,  54.73,    17.80,  167.05,   84.72,  136.52, 1008.53,   51.44,  641.47,  2971.4,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  73.0,       
2023-09-26, 07:32:52,  -04:00,       ,    2.8357279,  -63.6489677,  2845.2, 29.91,  2996.2,  26.2,   0.00,   0.00,   -0.03,   1.15,   1.04,  -0.02,   0.00,  28.6, 283.6,  26.5,  79.3,  93.59,  54.73,    17.80,  167.05,   84.72,  136.52, 1008.53,   51.44,  641.47,  2971.4,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  73.0,       
2023-09-26, 07:32:53,  -04:00,       ,    2.8357282,  -63.6489677,  2845.2, 29.91,  2996.1,  26.2,   0.00,   0.00,   -0.01,   1.15,   1.04,  -0.02,   0.00,  28.6, 283.6,  26.5,  79.1,  93.59,  54.73,    17.81,  167.03,   84.90,  136.39, 1018.14,   51.46,  641.92,  2971.2,   0,  GPS,  300.7, 109.30, 109.30, 123.450, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  73.0,       
2023-09-26, 07:32:54,  -04:00,       ,    2.8357282,  -63.6489677,  2845.2, 29.91,  2995.9,  26.2,   0.00,   0.00,   -0.00,   1.13,   1.05,  -0.02,  -0.00,  28.6, 283.6,  26.5,  78.5,  93.59,  54.73,    17.80,  167.00,   84.97,  136.50, 1024.66,   51.48,  642.00,  2971.0,   0,  GPS,  300.7, 109.30, 109.30, 123.450, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  73.0,       
2023-09-26, 07:32:55,  -04:00,       ,    2.8357284,  -63.6489677,  2845.2, 29.91,  2995.9,  26.0,   0.00,   0.00,   -0.00,   1.13,   1.03,  -0.01,  -0.00,  28.6, 283.6,  26.5,  77.7,  93.59,  54.73,    17.78,  166.95,   84.95,  136.78, 1028.94,   51.51,  641.87,  2971.0,   0,  GPS,  300.7, 109.30, 109.30, 123.450, 123.450,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  73.0,       
2023-09-26, 07:32:56,  -04:00,   SBBV,    2.8357275,  -63.6489677,  2845.2, 29.91,  2997.2,  26.0,   0.00,   0.00,   -0.00,   1.13,   1.03,  -0.01,   0.00,  28.6, 283.6,  26.5,  76.9,  93.53,  54.73,    17.78,  166.87,   84.86,  136.73, 1030.71,   51.53,  641.61,  2972.3,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:32:57,  -04:00,   SBBV,    2.8357275,  -63.6489677,  2845.2, 29.91,  2996.9,  26.0,   0.00,   0.00,   -0.00,   1.13,   1.03,  -0.01,  -0.00,  28.6, 283.6,  26.5,  76.4,  93.53,  54.73,    17.77,  166.76,   84.86,  136.52, 1032.37,   51.55,  641.48,  2972.1,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:32:58,  -04:00,   SBBV,    2.8357270,  -63.6489677,  2845.2, 29.91,  2997.6,  26.0,   0.00,   0.00,   -0.00,   1.13,   1.02,  -0.02,   0.01,  28.6, 283.6,  26.5,  75.2,  93.47,  54.73,    17.75,  166.65,   84.87,  136.47, 1033.75,   51.56,  641.19,  2972.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:32:59,  -04:00,   SBBV,    2.8357270,  -63.6489677,  2845.2, 29.91,  2997.7,  26.0,   0.00,   0.00,   -0.00,   1.11,   1.00,  -0.01,  -0.00,  28.6, 283.6,  26.6,  75.0,  93.47,  54.73,    17.74,  166.49,   84.90,  136.90, 1033.64,   51.58,  640.43,  2972.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:01,  -04:00,   SBBV,    2.8357265,  -63.6489677,  2845.2, 29.91,  2997.8,  25.8,   0.00,   0.00,   -0.00,   1.13,   1.00,  -0.01,  -0.00,  28.6, 283.6,  26.6,  72.7,  93.41,  54.73,    17.73,  166.25,   84.91,  137.65, 1033.10,   51.63,  639.38,  2972.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:02,  -04:00,   SBBV,    2.8357275,  -63.6489677,  2845.2, 29.91,  2996.4,  25.8,   0.00,   0.00,   -0.00,   1.15,   1.01,  -0.01,  -0.01,  28.6, 283.6,  26.6,  71.7,  93.41,  54.73,    17.74,  166.12,   84.95,  137.80, 1032.66,   51.64,  638.88,  2971.6,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:03,  -04:00,   SBBV,    2.8357275,  -63.6489677,  2845.2, 29.91,  2996.7,  25.8,   0.00,   0.00,   -0.00,   1.18,   0.99,  -0.02,  -0.00,  28.6, 283.6,  26.6,  70.9,  93.41,  54.73,    17.74,  166.00,   85.13,  137.98, 1032.25,   51.67,  638.94,  2971.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:04,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2995.9,  25.8,   0.00,   0.00,   -0.00,   1.18,   1.01,  -0.02,  -0.01,  28.6, 283.6,  26.6,  70.4,  93.41,  54.73,    17.74,  165.87,   85.17,  137.88, 1031.39,   51.63,  638.83,  2971.0,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:05,  -04:00,   SBBV,    2.8357284,  -63.6489677,  2845.2, 29.91,  2995.8,  25.8,   0.00,   0.00,   -0.00,   1.12,   1.01,  -0.02,  -0.00,  28.6, 283.6,  26.6,  69.9,  93.41,  54.73,    17.73,  165.76,   85.13,  138.12, 1029.87,   51.64,  638.37,  2970.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:06,  -04:00,   SBBV,    2.8357284,  -63.6489677,  2845.2, 29.91,  2995.7,  25.8,   0.00,   0.00,   -0.00,   1.12,   1.00,  -0.01,   0.00,  28.6, 283.6,  26.6,  68.9,  93.41,  54.73,    17.72,  165.65,   85.17,  138.58, 1028.27,   51.65,  638.23,  2970.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:07,  -04:00,   SBBV,    2.8357286,  -63.6489677,  2845.2, 29.91,  2995.6,  25.5,   0.00,   0.00,   -0.00,   1.13,   1.00,  -0.02,   0.00,  28.6, 283.6,  26.6,  68.8,  93.41,  54.73,    17.71,  165.56,   85.13,  138.50, 1026.87,   51.65,  638.33,  2970.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:08,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2997.0,  25.5,   0.00,   0.00,   -0.00,   1.13,   1.01,  -0.02,  -0.01,  28.6, 283.6,  26.6,  68.5,  93.41,  54.73,    17.70,  165.47,   85.15,  138.98, 1025.40,   51.66,  638.27,  2972.1,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:09,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2996.8,  25.5,   0.00,   0.00,   -0.00,   1.25,   1.00,  -0.02,   0.00,  28.7, 283.6,  26.7,  68.3,  93.41,  54.73,    17.71,  165.39,   85.37,  139.14, 1023.91,   51.66,  638.15,  2971.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:10,  -04:00,   SBBV,    2.8357275,  -63.6489677,  2845.2, 29.91,  2997.6,  25.5,   0.00,   0.00,   -0.00,   1.31,   0.98,  -0.02,   0.00,  28.6, 283.6,  26.7,  68.4,  93.41,  54.73,    17.69,  165.32,   85.31,  139.72, 1021.62,   51.67,  638.06,  2972.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:11,  -04:00,   SBBV,    2.8357275,  -63.6489677,  2845.2, 29.91,  2997.5,  25.5,   0.00,   0.00,   -0.00,   1.31,   1.02,  -0.02,  -0.00,  28.6, 283.6,  26.7,  67.7,  93.41,  54.73,    17.69,  165.25,   85.26,  140.33, 1019.05,   51.65,  638.06,  2972.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:12,  -04:00,   SBBV,    2.8357272,  -63.6489677,  2845.2, 29.91,  2997.7,  25.5,   0.00,   0.00,   -0.00,   1.30,   1.01,  -0.01,  -0.00,  28.6, 283.6,  26.7,  67.0,  93.41,  54.73,    17.69,  165.18,   85.27,  140.97, 1016.87,   51.67,  638.24,  2972.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:13,  -04:00,   SBBV,    2.8357272,  -63.6489677,  2845.2, 29.91,  2997.7,  25.5,   0.00,   0.00,   -0.00,   1.30,   1.04,  -0.02,   0.00,  28.6, 283.6,  26.7,  66.7,  93.41,  54.73,    17.70,  165.11,   85.33,  141.17, 1015.08,   51.68,  638.21,  2972.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:14,  -04:00,   SBBV,    2.8357284,  -63.6489677,  2845.2, 29.91,  2997.1,  25.5,   0.00,   0.00,   -0.00,   1.30,   1.01,  -0.01,  -0.00,  28.6, 283.6,  26.7,  66.0,  93.41,  54.86,    17.69,  165.05,   85.31,  141.69, 1013.67,   51.68,  637.95,  2972.2,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:15,  -04:00,   SBBV,    2.8357284,  -63.6489677,  2845.2, 29.91,  2997.4,  25.2,   0.00,   0.00,   -0.00,   1.30,   1.04,  -0.01,   0.00,  28.6, 283.6,  26.7,  65.1,  93.41,  54.86,    17.69,  164.99,   85.62,  142.26, 1012.07,   51.72,  637.95,  2972.6,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.0,       
2023-09-26, 07:33:16,  -04:00,   SBBV,    2.8357289,  -63.6489677,  2845.2, 29.91,  2996.7,  25.2,   0.00,   0.00,   -0.00,   1.27,   1.02,  -0.01,  -0.00,  28.6, 283.6,  26.7,  64.9,  93.41,  54.99,    17.69,  164.92,   85.54,  142.78, 1010.41,   51.73,  637.71,  2971.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:17,  -04:00,   SBBV,    2.8357289,  -63.6489677,  2845.2, 29.91,  2996.6,  25.2,   0.00,   0.00,   -0.00,   1.30,   1.04,  -0.02,   0.01,  28.6, 283.6,  26.7,  63.5,  93.41,  54.99,    17.67,  164.86,   85.51,  143.23, 1008.87,   51.73,  637.19,  2971.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:18,  -04:00,   SBBV,    2.8357291,  -63.6489677,  2845.2, 29.91,  2996.6,  25.2,   0.00,   0.00,   -0.00,   1.32,   1.04,  -0.01,  -0.00,  28.6, 283.6,  26.7,  63.4,  93.41,  54.99,    17.67,  164.80,   85.54,  143.37, 1007.02,   51.74,  636.90,  2971.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:19,  -04:00,   SBBV,    2.8357291,  -63.6489677,  2845.2, 29.91,  2996.6,  25.2,   0.00,   0.00,   -0.00,   1.32,   1.07,  -0.01,   0.01,  28.6, 283.6,  26.7,  62.1,  93.41,  54.99,    17.67,  164.74,   85.44,  143.30, 1005.67,   51.74,  636.83,  2971.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:20,  -04:00,   SBBV,    2.8357286,  -63.6489677,  2845.2, 29.91,  2996.2,  25.2,   0.00,   0.00,   -0.00,   1.33,   1.05,  -0.01,   0.00,  28.6, 283.6,  26.7,  61.6,  93.41,  55.12,    17.67,  164.68,   85.64,  143.05, 1004.19,   51.73,  636.56,  2971.3,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:21,  -04:00,   SBBV,    2.8357286,  -63.6489677,  2845.2, 29.91,  2995.8,  25.2,   0.00,   0.00,   -0.00,   1.33,   1.07,  -0.02,   0.00,  28.6, 283.6,  26.7,  61.3,  93.41,  55.12,    17.67,  164.62,   85.59,  143.43, 1002.69,   51.75,  636.58,  2970.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:22,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2995.8,  25.2,   0.00,   0.00,   -0.00,   1.27,   1.05,  -0.01,   0.00,  28.6, 283.6,  26.8,  60.7,  93.41,  55.12,    17.69,  164.57,   85.59,  144.00, 1001.12,   51.75,  636.54,  2971.0,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:23,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2995.7,  25.0,   0.00,   0.00,   -0.00,   1.24,   1.05,  -0.02,  -0.01,  28.6, 283.6,  26.8,  60.7,  93.41,  55.12,    17.67,  164.51,   85.60,  144.25,  999.67,   51.76,  636.20,  2970.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:24,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2995.6,  25.0,   0.00,   0.00,   -0.00,   1.12,   1.07,  -0.02,   0.01,  28.6, 283.6,  26.8,  60.4,  93.41,  55.12,    17.67,  164.46,   85.58,  144.56,  997.73,   51.75,  635.89,  2970.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:25,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2995.5,  25.0,   0.00,   0.00,   -0.00,   1.13,   1.04,  -0.02,   0.00,  28.8, 283.6,  26.8,  59.5,  93.47,  55.12,    17.66,  164.41,   85.52,  142.98,  996.24,   51.75,  635.77,  2970.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:26,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2996.6,  25.0,   0.00,   0.00,   -0.00,   1.05,   1.04,  -0.02,   0.01,  28.7, 283.6,  26.8,  59.1,  93.53,  55.12,    17.65,  164.36,   85.49,  141.37,  992.82,   51.65,  637.58,  2971.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:27,  -04:00,   SBBV,    2.8357282,  -63.6489677,  2845.2, 29.91,  2996.8,  25.0,   0.00,   0.00,   -0.00,   1.05,   1.09,  -0.02,   0.00,  28.7, 283.6,  26.8,  58.6,  93.53,  54.99,    17.65,  164.31,   85.67,  141.45,  989.68,   51.58,  640.13,  2971.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:28,  -04:00,   SBBV,    2.8357286,  -63.6489677,  2845.2, 29.91,  2997.6,  25.0,   0.00,   0.00,   -0.00,   1.05,   1.07,  -0.01,   0.00,  28.7, 283.6,  26.8,  58.3,  93.53,  54.99,    17.66,  164.26,   85.72,  141.80,  986.93,   51.55,  642.29,  2972.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:29,  -04:00,   SBBV,    2.8357286,  -63.6489677,  2845.2, 29.91,  2997.8,  25.0,   0.00,   0.00,   -0.00,   1.07,   1.09,  -0.02,   0.00,  28.7, 283.6,  26.8,  58.0,  93.53,  54.86,    17.67,  164.22,   85.61,  141.80,  984.50,   51.53,  643.87,  2972.9,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:30,  -04:00,   SBBV,    2.8357286,  -63.6489677,  2845.2, 29.91,  2998.0,  25.0,   0.00,   0.00,   -0.00,   1.04,   1.09,  -0.01,   0.00,  28.7, 283.6,  26.8,  56.8,  93.53,  54.86,    17.67,  164.18,   85.57,  141.84,  982.53,   51.52,  645.29,  2973.1,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:31,  -04:00,   SBBV,    2.8357284,  -63.6489677,  2845.2, 29.91,  2998.1,  25.0,   0.00,   0.00,   -0.00,   1.03,   1.05,  -0.02,   0.00,  28.7, 283.6,  26.8,  56.2,  93.53,  54.73,    17.67,  164.14,   85.55,  141.87,  981.40,   51.53,  646.56,  2973.2,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:32,  -04:00,   SBBV,    2.8357291,  -63.6489677,  2845.2, 29.91,  2996.7,  25.0,   0.00,   0.00,   -0.00,   1.10,   1.08,  -0.02,   0.00,  28.7, 283.6,  26.8,  56.3,  93.59,  54.60,    17.68,  164.10,   85.56,  141.88,  980.84,   51.53,  647.59,  2971.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:33,  -04:00,   SBBV,    2.8357294,  -63.6489677,  2845.2, 29.91,  2997.0,  25.0,   0.00,   0.00,   -0.00,   1.04,   1.09,  -0.02,   0.01,  28.7, 283.6,  26.8,  55.7,  93.59,  54.47,    17.67,  164.07,   85.63,  142.13,  980.75,   51.55,  648.39,  2972.1,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:34,  -04:00,   SBBV,    2.8357289,  -63.6489677,  2845.2, 29.91,  2995.7,  25.0,   0.00,   0.00,   -0.00,   1.07,   1.05,  -0.01,   0.00,  28.6, 283.6,  26.8,  55.2,  93.59,  54.47,    17.66,  164.04,   85.72,  142.20,  981.03,   51.58,  648.62,  2970.8,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:35,  -04:00,   SBBV,    2.8357291,  -63.6489677,  2845.2, 29.91,  2995.5,  24.8,   0.00,   0.00,   -0.00,   1.09,   1.05,  -0.01,   0.00,  28.6, 283.6,  26.8,  54.1,  93.53,  54.33,    17.66,  164.01,   85.65,  142.12,  981.04,   51.55,  648.69,  2970.6,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:36,  -04:00,   SBBV,    2.8357289,  -63.6489677,  2845.2, 29.91,  2995.2,  24.8,   0.00,   0.00,   -0.00,   1.04,   1.04,  -0.01,  -0.00,  28.6, 283.6,  26.8,  53.7,  93.53,  54.33,    17.67,  163.98,   85.71,  142.24,  980.41,   51.56,  648.85,  2970.4,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:37,  -04:00,   SBBV,    2.8357289,  -63.6489677,  2845.2, 29.91,  2995.0,  24.8,   0.00,   0.00,   -0.00,   1.07,   1.05,  -0.01,  -0.01,  28.6, 283.6,  26.8,  53.4,  93.53,  54.33,    17.67,  163.94,   85.70,  142.19,  980.82,   51.58,  648.92,  2970.2,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-09-26, 07:33:38,  -04:00,   SBBV,    2.8357272,  -63.6489677,  2845.2, 29.91,  2996.9,  24.8,   0.00,   0.00,   -0.00,   1.03,   1.04,  -0.01,   0.00,  28.6, 283.6,  26.9,  53.0,  93.53,  54.33,    17.67,  163.91,   85.90,  142.24,  980.72,   51.57,  648.99,  2972.0,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.027,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
